,desc,location,size,value
128,Exclusive Modern Townhouse,"Amara Ridge, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 110000000
129,5 Bedroomed Town House Under Offer,"Ongata Rongai Rangau Area, Kajiado, Nairobi, Nairobi",5 Bedrooms,KSh 6900000
130,LAVINGTON - 4 BEDROOMS M-ENSUITE MAISONETEE.,"Gitanga road near amboseli., Lavington, Nairobi, Nairobi",4 Bedrooms,KSh 35000000
131,Opulent Modern Townhouse,"Lavington, Lavington, Nairobi, Nairobi",4 Bedrooms,KSh 110000000
132,5 Bedroomed Town House Under Offer,"Ongata Rongai Rangau Area, Kajiado, Nairobi, Nairobi",5 Bedrooms,KSh 6900000
133,West Tides ! Westlands 5 Bedroom Townhouse,"westlands church road, Westlands, Nairobi, Nairobi",5 Bedrooms,KSh 45000000
134,Sun drops Oasis! Lavington 5 Bedrooms Villa.,"Lavington, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 75000000
135,Modern Luxurious House,"kitengela, Ngong Road, Nairobi, Nairobi",5 Bedrooms,KSh 15000000
136,"Beautiful,affordable 3 Bedroom Maisonettes","Muthama road, Syokimau, Nairobi, Nairobi",3 Bedrooms,KSh 13200000
137,Modern High End 5 Bedroom House - Ridgeways,"Ridgeways, Nairobi, Nairobi",5 Bedrooms,KSh 90000000
138,Beautiful 5 Bedroom in Runda,"RUNDA, Runda, Nairobi, Nairobi",5 Bedrooms,KSh 150000000
139,Wild Sunset ! Syokimau 4 Bedroom Townhouses.,"syokimau community road, Syokimau, Nairobi, Nairobi",4 Bedrooms,KSh 12000000
140,Executive 4 Bedroom Townhouse along Mugumo Road Lavington,"Lavington, Nairobi, Nairobi",4 Bedrooms,KSh 95000000
141,4 Bedroom House in on 0.5 Acre in a Gated Community.,"windy ridge, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 78000000
142,Villa at Kitisuru,"Karen, Nairobi, Nairobi",4 Bedrooms,KSh 87000000
143,a Cosy 4 Bedroom House in the Heart of Wispers/gigiri.,"Close to UN and Rosslyn Academy., Gigiri, Nairobi, Nairobi",4 Bedrooms,KSh 80000000
144,4 Bedroom Athi View Maisonettes,"Kiungani Road, Syokimau, Nairobi, Nairobi",4 Bedrooms,KSh 12900000
145,5 Bedroomed Town House at  Rangau,"ongata Rongai Rangau, Kajiado, Nairobi, Nairobi",5 Bedrooms,KSh 6900000
146,3 Bedroom Bungalow  in Kiserian,"Kiserian, Kiserian, Nairobi, Nairobi",3 Bedrooms,KSh 10000000
147,Alluring 4 Bedroom House,"Karen, Nairobi, Nairobi",4 Bedrooms,KSh 75000000
148,Opulent Modern Townhouse,"kitisuru, Kitisuru, Nairobi, Nairobi",4 Bedrooms,KSh 25000000
149,Exclusive House  in Lake View,"Lake view drive, Nairobi, Nairobi",4 Bedrooms,KSh 110000000
150,4 Bedroom Bungalow - Karen,"Karen, Nairobi, Nairobi",4 Bedrooms,KSh 70000000
151,Villa at Karen,"Karen, Nairobi, Nairobi",4 Bedrooms,KSh 50000000
152,Apartment at Nairobi,"Lavington, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 100000000
153,Lovely 3 Bedroom Bungalow in Kiserian,"Kiserian, Kiserian, Nairobi, Nairobi",3 Bedrooms,KSh 6500000
154,Elegant Bungalow for Sale in Karen,"Bogani, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 70000000
155,4 Bedroom+ Dsq Townhouse for sale  in South B,"Golden Gate Estate, South B, Nairobi, Nairobi",4 Bedrooms,KSh 14500000
156,3 Bedroom House for sale in Kileleshwa,"tebere cresent, Kileleshwa, Nairobi, Nairobi",3 Bedrooms,KSh 125000000
157,"Spacious,ready 5 Bedroom House","Mwananchi road,Syokimau, Syokimau, Nairobi, Nairobi",5 Bedrooms,KSh 17000000
158,Lovely 4 Bed Villa with s/ pool in Karen Kisembe,"Magadi Rd, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 50000000
159,Palatial Karen 5 Bedroom Home,"Karen, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 110000000
160,Kileleshwa 5 Bedroom Maisonette,"kileleshwa, Kileleshwa, Nairobi, Nairobi",5 Bedrooms,KSh 60000000
161,"Lavish 5 Bedroom Townhouse with a Dsq in Lavington, Nairobi.","Lavington, Nairobi, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 75000000
162,4 Bedroom Bungalow - Karen,"Karen, Nairobi, Nairobi",4 Bedrooms,KSh 70000000
163,Maisonette For Sale in Harambee Sacco Estate Donholm,"Donholm, Nairobi, Nairobi",4 Bedrooms,KSh 9500000
164,4 and 5 Bedroom Maisonettes Mavoko Park,"Mwananchi road,Syokimau, Syokimau, Nairobi, Nairobi",4 Bedrooms,KSh 12000000
165,Opulent Modern 4 Bedroom Townhouse,"kitisuru, Kitisuru, Nairobi, Nairobi",4 Bedrooms,KSh 25000000
166,Modern Townhouse,"kitisuru, Kitisuru, Nairobi, Nairobi",4 Bedrooms,KSh 25000000
167,Kitusuru 4 Bedroom Town House,"Kitusuru, Nairobi, Kitisuru, Nairobi, Nairobi",4 Bedrooms,KSh 50000000
168,3 Bed Room House  at Harambee Estate,"Harambee, Nairobi, Nairobi",3 Bedrooms,KSh 12000000
169,Masterfully Designed and Luxurious Villas,"Amara Ridge, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 110000000
170,1 acre Property for sale in Kileleshwa.,"kileleshwa, Kileleshwa, Nairobi, Nairobi",2 Bedrooms,KSh 400000000
171,4 Bedroom+ Dsq Townhouse in Runda,"Kiambu road, Runda, Nairobi, Nairobi",4 Bedrooms,KSh 37000000
172,Excellently Done 5 Bedroom Town House,"Lavington, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 65000000
173,5 Bedroom House  in Karen (Kenya) 3ke1381571,"Karen, Nairobi, Nairobi",5 Bedrooms,KSh 115000000
174,5 Bedroom Villa in Karen,"karen, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 170000000
175,Masterfully Designed and Townhouse Apartments,"Lavington, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 75000000
176,Golden Stream ! Runda Fourways 4 Bedroom Villa,"runda, Runda, Nairobi, Nairobi",4 Bedrooms,KSh 29000000
177,18 0606 ST Outstanding Townhouse - Excellent Investment Opportunity 17 03 07,"Brookeside Drive, Brookside, Nairobi, Nairobi",4 Bedrooms,KSh 55000000
178,1 Acre Serviced Land with 3 Houses Lavington,"Lavington, Lavington, Nairobi, Nairobi",1 Bedrooms,KSh 250000000
179,Modern Townhouse,"Lavington, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 75000000
180,Scarlet Roses ! Runda 4 Bedroom Maisonettes with Dsq.,"Runda, Runda, Nairobi, Nairobi",4 Bedrooms,KSh 23000000
181,Westlands Brookside Executive 4 Bedrooms Townhouse,"grevillea grove, Westlands, Nairobi, Nairobi",4 Bedrooms,KSh 43000000
182,4 Bedroom House - Mansionnete for sale,"WAIYAKI WAY, Mountain View, Nairobi, Nairobi",4 Bedrooms,KSh 45000000
183,4 Bedroom Stand alone house on 1.3 acres  in Old Muthaiga,"Old Muthaiga - near Sergoit Lane, Muthaiga, Nairobi, Nairobi",4 Bedrooms,KSh 199000000
184,Karen City Property with Country Charm Gated Comm,"Bogani Road, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 88000000
185,Karen 5 Bedroom Town House,"Karen, Hillcrest Road, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 85000000
186,2 Bedroom Maisonette - Kileleshwa,"Kileleshwa, Nairobi, Nairobi",4 Bedrooms,KSh 35000000
187,Magnificent and Ultra Modern 4 Bedroom Villa,"Kitisuru, Kitisuru, Nairobi, Nairobi",4 Bedrooms,KSh 87000000
