,desc,location,size,value
634,Brand New 6 Bedroom Townhouse All En Suite With Dsq,"Convent Drive, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 75000000
635,5 Bedroom Townhouse for sale in Karen,"Miotoni Ln, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 90000000
636,8 Bedroom House in Kitisuru,"Kitisuru, Kitisuru, Nairobi, Nairobi",8 Bedrooms,KSh 145000000
637,Elegant Modern Villas - Lavington,"Chalbi drive, Lavington, Nairobi, Nairobi",4 Bedrooms,KSh 62000000
638,Luxurious Villas for sale on Kiambu Road,"Kiambu Road, Kiambu Road, Nairobi, Nairobi",4 Bedrooms,KSh 25000000
639,A Magnificent 4 Bedroom Town House for sale,"Kiambu Road, Red Hill, Nairobi, Nairobi",4 Bedrooms,KSh 75000000
640,Quick Sale - 4 Bedroom All Ensuite Plus DSQ,"Kileleshwa, Nairobi, Nairobi",4 Bedrooms,KSh 55000000
641,Spacious 4 Bedroom Maisonette for Sale in Kiambu Road,"Kiambu Road, Nairobi, Nairobi",4 Bedrooms,KSh 28000000
642,"5 Br Townhouse, Lavington","Mzima Springs, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 85000000
643,4 Bedroom Townhouse for sale on Thika Road - 3ke1323995,"Thika Road, Thika Road, Nairobi, Nairobi",4 Bedrooms,KSh 46000000
644,Karen Stand Alone House,"Karen, Nairobi, Nairobi",5 Bedrooms,KSh 80000000
645,The New Kitsuru Maisonette House,"Kitisuru, Nairobi, Nairobi",5 Bedrooms,KSh 130000000
646,4 Bedroom House,"Murera kimbo, Ruiru, Nairobi, Nairobi",4 Bedrooms,KSh 8500000
647,Runda 5 Bedroom all En-suite,"Runda, Nairobi, Nairobi",5 Bedrooms,KSh 95000000
648,5 Bedroom Townhouse for sale in Karen,"Nandi Rd, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 90000000
649,A 5 Bdrm Townhouse,"LoyanLoyangelani avenue., Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 65000000
650,5 Bedroom Townhouse In Westlands - Shanzu Road - 1502-7-S,"Spring Valley, Nairobi, Nairobi",5 Bedrooms,KSh 55000000
651,6 Bedroom Townhouse,"Isaac gathanju road, Lavington, Nairobi, Nairobi",6 Bedrooms,KSh 85000000
652,An Executive 5 Bedroom Townhouse for sale in Lavington Hatheru Rd,"It's along hatheru rd, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 65000000
653,5 Bedroom House for sale in Lavington,"Riverside Road, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 140000000
654,4 Bedroom Penthouse In Riverside - Off Riverside Drive - 1881-B6,"Riverside, Nairobi, Nairobi",4 Bedrooms,KSh 110000000
655,"4br Townhouse, Kiambu road","kiambu road, Kiambu Road, Nairobi, Nairobi",4 Bedrooms,KSh 40000000
656,Adorable 4 Bedroom Town House Forsale,"Peponi Road, Spring Valley, Nairobi, Nairobi",4 Bedrooms,KSh 55000000
657,Spacious 7 Bedroom Maisonette in Kitengela,"Kitengela, Kiserian, Nairobi, Nairobi",7 Bedrooms,KSh 14500000
658,Seriously Pimped 4 Bedroom Maisonette at Water Front Gardens Estate,"Waiyaki Way, Waiyaki Way, Nairobi, Nairobi",4 Bedrooms,KSh 30000000
659,New 4 Bedroom Maisonette in Karuguru Kamakis,"Karuguru, Ruiru, Nairobi, Nairobi",4 Bedrooms,KSh 13500000
660,5 Bedroom Townhouse for sale in Kilimani,"Riara Road, Riara, Nairobi, Nairobi",5 Bedrooms,KSh 37000000
661,Exceptional Plan House for sale,"Karen, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 95000000
662,Paramount Houses in Karen,"Karen, Nairobi, Nairobi",5 Bedrooms,KSh 60000000
663,Lovely Maisonette,"Syokimau, Nairobi, Nairobi",5 Bedrooms,KSh 14000000
664,"Elegant and Luxurious 5 Bedroom Townhouses in Lavington, Nairobi","Lavington Nairobi, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 75000000
665,"6 BEDROOM, 3 LEVEL TOWN HOUSE ON SALE  IN LAVINGTON","Lavington, Lavington, Nairobi, Nairobi",6 Bedrooms,KSh 65700000
666,Beautiful 5 Bedroom Townhouse in Lavington,"Lavington, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 50000000
667,5 Bedroom Townhouse for sale in Lavington,"Lavington, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 85000000
668,Lavish Town House For Sale,"loresho ridge, Loresho, Nairobi, Nairobi",4 Bedrooms,KSh 32500000
669,Maisonette for sale in Utwala,"Utawala , Nairobi, Nairobi",3 Bedrooms,KSh 9250000
670,"Runda, 4  Bedroom Townhouse for sale","Mumwe, Runda, Nairobi, Nairobi",4 Bedrooms,KSh 70000000
671,"Mugumo Crescent Townhouse, off Kyuna Road","Off Kyuna Rd., Riruta, Nairobi, Nairobi",NO001HO51ZUAINTRESKE Object ID,KSh 105000000
672,Townhouse 4 Bedroom with a DSQ in a Gated Community with a Sizable Kitchen Garden,"Kilimani, Nairobi, Nairobi",4 Bedrooms,KSh 33000000
673,Delightfully-Made House for sale,"Lavington, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 46000000
674,5 Bedroom Townhouse for sale in Lavington,"Lavington, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 45000000
675,An Executive 4 Bedroom Townhouse Along Mombasa Road for sale .,"Mombasa Road, Nairobi, Nairobi",4 Bedrooms,KSh 12500000
676,An Exclusive And Prestgious Modern 4 Bedroom Townhouse in Lavington,"Gitanga Road, Lavington, Nairobi, Nairobi",4 Bedrooms,KSh 55000000
677,4 Bedroom Maisonette Sigona,"Waiyaki Way, Nairobi, Nairobi",4 Bedrooms,KSh 16950000
678,4 Bedroom Townhouse for sale in Kileleshwa,"Kaputei Rd, Kileleshwa, Nairobi, Nairobi",4 Bedrooms,KSh 66000000
679,"Eve Gardens, Villas for sale","Karen, Nairobi, Nairobi",4 Bedrooms,KSh 65000000
680,4 Bedroom Townhouse for sale in Thika,"Thika Road, Nairobi, Nairobi",4 Bedrooms,KSh 20000000
681,New Town Hse 5 Bd all Ensuite Dsq Study Family Room Gen in Lav,"Nairobi, Nairobi",5 Bedrooms,KSh 75000000
682,4 Bed Bungalow - 1.24 Acres In Old Muthaiga - Mua Park Road - 2168,"Muthaiga, Nairobi, Nairobi",4 Bedrooms,KSh 240000000
683,3 Bedroom Maisonette in Kilimani,"Kilimani, Kilimani, Nairobi, Nairobi",3 Bedrooms,KSh 32000000
684,5 Bedroom House for Sale in Karen,"Hillcrest Rd, Karen, Nairobi, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 110000000
685,4 Bedroom Bungalow on 1 Acre Near Karen Country Club,"Karen, Nairobi, Nairobi",4 Bedrooms,KSh 85000000
686,8 Bedroom Townhouse for sale in Lavington,"Muthangari Road, Lavington, Nairobi, Nairobi",8 Bedrooms,KSh 80000000
687,5 Bedroom House for sale in Runda,"Runda, Runda, Nairobi, Nairobi",5 Bedrooms,KSh 130000000
688,5 Bedroom Townhouse for sale in Lavington,"Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 48000000
689,An Exclusive 5 Bedrooms Town House,"Gitanga road, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 75000000
690,8 Bedroom House in Karen,"Karen, Nairobi, Nairobi",8 Bedrooms,KSh 85000000
691,Hardrock Park Estates,"Thika Road, Nairobi, Nairobi",4 Bedrooms,KSh 25000000
692,SOUTH C - MUGOYA - 3 BEDROOMS MAISONETTE.,"BELLE VUE ROAD., South C, Nairobi, Nairobi",3 Bedrooms,KSh 18000000
693,"5 Br House, Runda","Runda, Runda, Nairobi, Nairobi",5 Bedrooms,KSh 230000000
694,Elegant 5 Bedroom Villas for sale in Karen,"Karen, Nairobi, Nairobi",5 Bedrooms,KSh 80000000
695,A 5 Bedroom Townhouse,"Ngong view, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 100000000
696,Exclusive 5 Bedroom Detached Villa To Let in Rosslyn Park,"Rossyln Park, Rosslyn, Nairobi, Nairobi",5 Bedrooms,KSh 100000000
697,Luxury 3 Bedroom Maisonettes In Syokimau,"St Thomas Timothy Road, Syokimau, Nairobi, Nairobi",3 Bedrooms,KSh 15500000
698,A Charming and  Spacious 4 Bedroom Maisonette in Parklands,"Parklands 2nd avenue, Parklands, Nairobi, Nairobi",4 Bedrooms,KSh 29000000
699,Hardrock Park Estates,"Thika Road, Nairobi, Nairobi",4 Bedrooms,KSh 25000000
700,Beutiful 5 Bedroom SQ,"James gichuru, Lavington, Nairobi, Nairobi",6 Bedrooms,KSh 300000
701,4 bedroom Townhouse for sale in Karen,"Miotoni Road, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 80000000
702,5 Bedroom Townhouse in Syokimau,"Syokimau, Syokimau, Nairobi, Nairobi",5 Bedrooms,KSh 28000000
703,House for sale on Lower Kabete,"Lower Kabete, Lower Kabete, Nairobi, Nairobi",4 Bedrooms,KSh 95000000
704,5 Bedroom Town House for sale in Lavington,"Mbambane, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 90000000
705,Luxurious 5 Bed Rooms Villa with 2 Dsq on Half Acre in Karen,"FOREST ROAD, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 105000000
706,Five Star Meadows,"kiambu road, Kiambu Road, Nairobi, Nairobi",4 Bedrooms,KSh 45000000
707,A Stunning 4 Bedroom all En Suite Townhouse in Westlands,"Brookside Gardens, Brookside, Nairobi, Nairobi",4 Bedrooms,KSh 45000000
708,Taj Prestige House for sale,"Grevillea grove, Westlands, Nairobi, Nairobi",5 Bedrooms,KSh 65000000
709,5 Bedrooms Double Story House,"Karen, Nairobi, Nairobi",5 Bedrooms,KSh 150000000
710,6 Bedroom Townhouse for sale in Lavington,"James Gichuru, Lavington, Nairobi, Nairobi",6 Bedrooms,KSh 78000000
711,"Spacious And Magnificent 3 Bedroom Villa + Sq, Kiambu Road","Kiambu, Kiambu Road, Nairobi, Nairobi",3 Bedrooms,KSh 35000000
712,Brand New 5 Bedroom Townhouse All En Suite,"CONVENT ROAD, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 65000000
713,Laving Ton Town House for sale,"convent drive, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 65000000
714,Well Maintained 3 Bedroom Maisonette In South C,"South C, South C, Nairobi, Nairobi",3 Bedrooms,KSh 13800000
715,"Langata, 4 Bedroom Master Ensuite  Maisonette","Kitengela Road, Langata, Nairobi, Nairobi",4 Bedrooms,KSh 17000000
716,Townhouse for Sale in Syokimau - 3KE1321308,"Syokimau, Syokimau, Nairobi, Nairobi",4 Bedrooms,KSh 11500000
717,5 Bedroom Townhouse for sale in Lavington,"Lavington, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 85000000
718,"Clean, Crisp And Bright Townhouse in Rosslyn","Rosslyn, Nairobi, Nairobi",5 Bedrooms,KSh 85000000
719,6 Bedroom Standalone In Nyari - Pioneer Close - 1220-I,"Nyari, Nairobi, Nairobi",6 Bedrooms,KSh 85000000
720,Executive 4 Bedroom Townhouse 2 Ensuite with 1 Bedroom Guest Wing,"Nagoya estate phase 4, South C, Nairobi, Nairobi",4 Bedrooms,KSh 29000000
721,5 Bedroom Townhouse for sale in Lavington,"Mugumo Rd, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 82000000
722,Beautiful 3 Bedrooms Masionatte with SQ in Kileleshwa,"Kileleshwa, Nairobi, Nairobi",3 Bedrooms,KSh 30000000
723,6 Bedroom Ambassadorial House for sale on 36 Acres in Muthaiga,"Muthaiga Rd, Muthaiga, Nairobi, Nairobi",6 Bedrooms,Contact seller for price
724,2 Bedroom for sale at Imara Daima,"Imara Daima, Nairobi, Nairobi",2 Bedrooms,KSh 7000000
725,Executive 5 Bedroom All En-Suite Townhouse in Lavington,"Lavington, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 65000000
726,"6 Bedroom Home & Guest House on 33 Acres, Mukoma Estate","Langata, Nairobi, Nairobi",8 Bedrooms,KSh 165000000
727,5 Bedroom Townhouse for sale in Karen,"Miotoni Road, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 85000000
728,Olive Court Mlimani (Kitengela) Phase 2 Newly Launched,"Mlimani Kitengela, Mlolongo, Nairobi, Nairobi",3 Bedrooms,KSh 8500000
729,"The Best of Runda , Ambassadorial House","Runda, Runda, Nairobi, Nairobi",6 Bedrooms,KSh 140000000
730,"Westlands, 3 Bedroom Maisonette for sale","RHAPTA RD, Westlands, Nairobi, Nairobi",3 Bedrooms,KSh 40000000
731,Runda Town House,"Runda, Nairobi, Nairobi",4 Bedrooms,KSh 37000000
732,4 Bedroom Maisonette all En-suite - Syokimau For Sale,"Syokimau, Nairobi, Nairobi",4 Bedrooms,KSh 20000000
733,Hardrock Park Thika Rd,"Thika Road, Nairobi, Nairobi",4 Bedrooms,KSh 25000000
734,5 Bedroom Homes for sale,"Mbagathi ridge, Karen, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 120000000
735,2 Beautiful Homes in Tranquil Karen Location,"Karen, Nairobi, Nairobi",7 Bedrooms,KSh 165000000
736,Lovely 4 Bedroom Townhouse in Brookside - Westlands,"Westlands, Nairobi, Nairobi",4 Bedrooms,KSh 50000000
737,A 5 Bedroom Townhouse for sale in Lavington Along Hatheru Rd,"It's along hatheru rd, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 65000000
738,An Executive And Modern 6 Bedroom Al En Suite Ambassadorial House on 1 Acre in Runda,"Mimosa Drive, Runda, Nairobi, Nairobi",6 Bedrooms,KSh 130000000
739,Townhouse In Kabarsiran Lavington,"Lavington, Nairobi, Nairobi",3 Bedrooms,KSh 45000000
740,4 Bedroom Townhouse For sale Loresho Ridge,"Loresho Ridge, Loresho, Nairobi, Nairobi",4 Bedrooms,KSh 39000000
741,5 Bedroom Townhouse for sale in Karen,"Miotoni Ln, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 75000000
742,5 Bedroom Townhouse for sale in Karen,"Miotoni Ln, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 75000000
743,5 Bedroom House in Lavington,"Convent Drive, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 70000000
744,Prime plot for sale in Karen Hardy,"Karen, Karen, Nairobi, Nairobi",1 Bedrooms,KSh 60000000
745,"Karinde, Off Dagoretti Rd, 3 Bedroom House for sale","Dagoretti Road, Dagoretti Road, Nairobi, Nairobi",3 Bedrooms,KSh 11000000
746,Runda Gardens Townhouses,"Runda, Nairobi, Nairobi",4 Bedrooms,KSh 37000000
747,World Class Luxurious 3 Bedrooms all Ensuite with Dsq in a Gated Community in Kiambu Road,"Kiambu Road, Nairobi, Nairobi",3 Bedrooms,KSh 35000000
748,5 Bedroom House + Dsq in Karen for sale!!,"Mukinduri crescent, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 70000000
749,Spacious T House 3 Bedroom Master Ensuite for sale Kileleshwa,"Kileleshwa, Nairobi, Nairobi",3 Bedrooms,KSh 40000000
750,1 Acre Serviced Land with 3 Houses Lavington,"Lavington, Lavington, Nairobi, Nairobi",1 Bedrooms,KSh 250000000
751,Five Bedroom Townhouse For Sale In Runda,"Runda, Runda, Nairobi, Nairobi",5 Bedrooms,KSh 110000000
752,House on Mombasa Road,"Syokimau, Nairobi, Nairobi",4 Bedrooms,KSh 17000000
753,5 bedroom Townhouse for sale in Lavington,"Convent Drive, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 85000000
754,Exquisite 4 Bedroom En-suite House with dsq. for Sale,"Off Limuru Road, Limuru road, Nairobi, Nairobi",4 Bedrooms,KSh 31000000
755,"Elegant And Luxurious 5 Bedroom Townhouses for sale in Lavington, Nairobi","Lavington Nairobi, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 85000000
756,"Rosslyn Lane, House for sale","Rosslyn lane, Rosslyn, Nairobi, Nairobi",5 Bedrooms,KSh 120000000
757,"5 BEDROOM, 3 LEVEL TOWN HOUSE ON SALE  IN LAVINGTON","Lavington, Lavington, Nairobi, Nairobi",6 Bedrooms,KSh 80000000
758,3 Bedroom Mansionate on Sale in Nyayo Embakasi,"Nyayo Embakasi, Embakasi, Nairobi, Nairobi",3 Bedrooms,KSh 12500000
759,"5 Bedroom Home for sale, Sandalwood Estate Karen","Karen, Nairobi, Nairobi",5 Bedrooms,KSh 89800000
760,Fair Field Park Mombasa Road,"Mombasa Road, Nairobi, Nairobi",4 Bedrooms,KSh 17000000
761,Impeccable 5 Bedroom Town- House in Lavington,"Lavington, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 80000000
762,Beautifully Done 5 Double Storey House,"Loresho, Loresho, Nairobi, Nairobi",5 Bedrooms,KSh 85000000
763,Karen House,"Karen, Nairobi, Nairobi",5 Bedrooms,KSh 75000000
764,Kencom Homes Runda,"Runda, Nairobi, Nairobi",4 Bedrooms,KSh 37000000
765,4 Bedroom All En-Suite House With Sq in Karen Near Hardy,"Kibiko Road, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 65000000
766,8 bedroom House for sale in Nyari,"Red Hill Road, Nyari, Nairobi, Nairobi",8 Bedrooms,KSh 120000000
767,4 Bedroom Townhouse for sale in Ngong,"Ngong Road, Ngong Road, Nairobi, Nairobi",4 Bedrooms,KSh 45000000
768,Fairfield Park Mombasa Road,"Mombasa Road, Nairobi, Nairobi",4 Bedrooms,KSh 17000000
769,5 Bedroom House,"Chalbi drive, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 100000000
770,Kileleshwa Maisonette,"Kileleshwa, Nairobi, Nairobi",5 Bedrooms,KSh 40000000
771,Ruaka property for residential or commercial,"Ruaka, Ruaka, Nairobi, Nairobi",1 Bedrooms,KSh 25000000
772,Magnificent 4 Bedroom Town House In Loresho.,"Loresho, Loresho, Nairobi, Nairobi",4 Bedrooms,KSh 35500000
773,"Big 4room Maisonette, facing River","Mombasa Road, Mombasa Road, Nairobi, Nairobi",4 Bedrooms,KSh 16500000
774,Magnificent Bungalow In Athi River,"Athi River, Riruta, Nairobi, Nairobi",3 Bedrooms,KSh 7500000
775,Townhouse For Sale In Lavington,"Lavington, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 65000000
776,Kitisuru Elegant 5 Bedroom Home,"Kitisuru, Nairobi, Nairobi",5 Bedrooms,KSh 125000000
777,5 Bedroom Townhouse for sale in Lavington,"Mugumo Rd, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 82000000
778,6 Bedroom House For Sale In Kitisuru,"Kitisuru, Kitisuru, Nairobi, Nairobi",6 Bedrooms,KSh 74900000
779,"3 bedroom, 12 room, country style home on 1/2 acre","Dagoretti Road, Karen, Nairobi, Nairobi",3 Bedrooms,KSh 50000000
780,5 Bedroom House in Lavington,"Lavington, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 56000000
781,"A Sumptuous 5 Bedroom Townhouse for sale in Karen, Off Mukoyeti West Road","Mukoyeti West Road., Karen, Nairobi, Nairobi",5 Bedrooms,KSh 75000000
782,Elegant 3 Bedroom House for sale in Kileleshwa (OLOITOKTOK Villas),"Methodist Ministries Kileleshwa, Kileleshwa, Nairobi, Nairobi",3 Bedrooms,KSh 43000000
783,4 Bedroom Townhouse for sale in Syokimau,"Syokimau, Syokimau, Nairobi, Nairobi",4 Bedrooms,KSh 9500000
784,4 Bedroom Family Home for sale,"Karen, Nairobi, Nairobi",4 Bedrooms,KSh 55000000
785,FOR SALE,"thika, Thika Road, Nairobi, Nairobi",5 Bedrooms,KSh 15000000
786,3 Bedroom Bungalow,"Loresho, Loresho, Nairobi, Nairobi",3 Bedrooms,KSh 65000000
787,The Kyuna Ambassadorial House,"Kyuna, Kyuna, Nairobi, Nairobi",5 Bedrooms,KSh 130000000
788,"4 Bedroom Home, Ndege Road","Karen, Nairobi, Nairobi",4 Bedrooms,KSh 115000000
789,6 Bedroom Townhouse for sale in Kileleshwa,"Laikipia Rd, Kileleshwa, Nairobi, Nairobi",6 Bedrooms,KSh 120000000
790,4 Bedroom All En-Suite House in Karen,"Karen Ridge, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 70000000
791,5 Bedroom Townhouse For Sale In Lavington,"Muthangari Gardens Maziwa, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 67000000
792,"House for sale: Amazing 5 Bedroom, All Ensuite, Dsq - Karen","Karen, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 75000000
793,Stunning 3 Bedroom Maisonettes In Syokimau,"Syokimau, Syokimau, Nairobi, Nairobi",3 Bedrooms,KSh 9500000
794,Hardrock Park Estates,"Thika Road, Nairobi, Nairobi",4 Bedrooms,KSh 25000000
795,3 Bedroom Standalone on 1/2 an Acre for Sale in Karen,"Dagoretti Road, Karen, Nairobi, Nairobi",3 Bedrooms,KSh 55000000
796,Townhouse for sale,"Elmolo drv, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 85000000
797,5 Bedroom House for sale in Kyuna,"Mugumo Crescent, Kyuna, Nairobi, Nairobi",5 Bedrooms,KSh 100000000
798,"Garden City, Villa for sale","Garden Estate, Nairobi, Nairobi",4 Bedrooms,KSh 42500000
799,Magnificent 5 Bedroomed Home on half acre in Karen,"Karen, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 90000000
800,Luxurious 5 Bedroom House for sale in Karen-3ke1232509,"Karen, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 85000000
801,A Homely Lovely Five Bedroom Town House in Runda,"Cactus Street, Nairobi, New Runda, Runda, Nairobi, Nairobi",6 Bedrooms,KSh 100000000
802,4 Bedroom House for sale in Lavington,"Lavington, Nairobi, Nairobi",4 Bedrooms,KSh 55000000
803,for sale Bedsitter: Makao Apartments- Ruaka,"Ruaka, Ruaka, Nairobi, Nairobi",1 Bedrooms,KSh 4500000
804,Riverside Town House,"Riverside drive, Riverside, Nairobi, Nairobi",4 Bedrooms,KSh 70000000
805,Touch of class! Runda Mimosa 7 bed Townhouse.,"Runda, Nairobi, Nairobi",7 Bedrooms,KSh 140000000
806,4 Bedroom Townhouse for sale in Redhill Limuru Road,"limuru road, Limuru road, Nairobi, Nairobi",4 Bedrooms,KSh 25000000
807,"Luxury 5 Bedrooms House For Sale, Marist lane","Marist lane, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 135000000
808,Kencom Runda Townhouses,"Runda, Nairobi, Nairobi",4 Bedrooms,KSh 37000000
809,"5 Bedroom Town House For Sale  in Karen, Nairobi","Karen, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 80000000
810,Palatial Home 4bdm sq Karen,"Boghani Road, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 350000
811,Newly Renovated 3 Bedroom Bungalow on Half Acre,"Karen, Nairobi, Nairobi",3 Bedrooms,KSh 50000000
812,Pergola Villas,"Karen, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 65000000
813,"5 Bedroom Ultramodern Townhouse in Muhugu Park, Karen.","Kerarapon rd, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 73500000
814,4 bedroom Maisonette in South C,"Bandari villas, South C, Nairobi, Nairobi",4 Bedrooms,KSh 23000000
815,An Exclusive And Prestgious Modern 5 Bedroom Townhouse on Grevalia Grove,"Grevillea Grove Westlands, Grevillea Grove, Nairobi, Nairobi",5 Bedrooms,KSh 58000000
816,"Juja Plains View Estate, 3 Bedroom Bungalows in a Gated Community Ready for Occupation.","Juja Farm Road, Ruiru, Nairobi, Nairobi",3 Bedrooms,KSh 5500000
817,10 Bedroom House for sale in Spring Valley,"Spring Valley, Spring Valley, Nairobi, Nairobi",10 Bedrooms,KSh 315000000
818,4 Bedroom Premium Houses for sale in Kiambu Road,"Kiambu Road-Nairobi, Kiambu Road, Nairobi, Nairobi",4 Bedrooms,KSh 34500000
819,"Magnificent and Capacious 4 Bedroom all Ensuite Townhouse with Detached Dsq off Grevillea, Spring Valley - Nairobi","GREVILLEA GROVE, Spring Valley, Nairobi, Nairobi",4 Bedrooms,KSh 57000000
820,Beautiful 4 Bedroom Maisonette In Syokimau,"Syokimau, Syokimau, Nairobi, Nairobi",4 Bedrooms,KSh 10500000
821,The Ambassadorial 6 Bedroom With Sq,"Runda, Runda, Nairobi, Nairobi",6 Bedrooms,KSh 140000000
822,"Nairobi, Westlands, 5 Bedroom Maisonette for sale","Westlands, Westlands, Nairobi, Nairobi",5 Bedrooms,KSh 35000000
823,Karen Maisonette,"Karen, Nairobi, Nairobi",5 Bedrooms,KSh 85000000
824,4 Bedroom Townhouse for sale in Westlands,"Grevillea Grove, Westlands, Nairobi, Nairobi",4 Bedrooms,KSh 60000000
825,5 Bedroom Townhouse for sale in Karen,"Miotoni Ln, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 75000000
826,"Palatial 6 Bedroom House in Karen, Bogani","Karen, Bogani, Karen, Nairobi, Nairobi",6 Bedrooms,KSh 90000000
827,4 bedroom house in Rosslyn Estate,"Gigiri, Gigiri, Nairobi, Nairobi",4 Bedrooms,KSh 90000000
828,VALLEY ARCADE - 5 BEDROOMS TOWN HOUSE WITH GARDEN.,"OFF MBAAZI  AVENUE., Valley arcade , Nairobi, Nairobi",5 Bedrooms,KSh 50000000
829,4 Bedroom Town House for sale Along Kiambu Road,"Kiambu road, Kiambu Road, Nairobi, Nairobi",4 Bedrooms,KSh 37000000
830,"Magnificent and Capacious 5 Bedroom all Ensuite Townhouse with Detached Dsq off Grevillea, Westlands - Nairobi","GREVILLEA, Westlands, Nairobi, Nairobi",5 Bedrooms,KSh 54000000
831,Marvelous  5  bedroom  double  storey  for  sale,"Runda, Runda, Nairobi, Nairobi",5 Bedrooms,KSh 125000000
832,Fairfield Park,"Mombasa Road, Nairobi, Nairobi",4 Bedrooms,KSh 17000000
833,Four Bedrooms Tonwhoues New with Modern Finishing in Peponi,"Lower kabete road, Peponi, Nairobi, Nairobi",4 Bedrooms,KSh 95000000
834,Ridgeways 5 Bedroom House,"Ridgeways, Nairobi, Nairobi",5 Bedrooms,KSh 80000000
835,4 Bedroom Traditional Home & Guest Cottage for sale,"Muthaiga North, Nairobi, Nairobi",5 Bedrooms,KSh 170000000
836,5 Bedroom House for Sale in Karen,"Miotoni Rd Karen, Karen, Nairobi, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 85000000
837,5 Bedroom House for sale in Muthaiga,"Old Muthaiga, Muthaiga, Nairobi, Nairobi",5 Bedrooms,KSh 320000000
838,"4 Bedroom Stand Alone House for sale in Karen, Muiri Lane","Muiri Lane, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 78000000
839,5  bedroom  townhouse  for  sale  in  westlands,"Brookside, Westlands, Nairobi, Nairobi",5 Bedrooms,KSh 65000000
840,Spacious 4 Bedroom+2dsq TV Room Study Own Gate for sale in Kileleshwa,"Kileleshwa, Nairobi, Nairobi",4 Bedrooms,KSh 48000000
841,A Lovely 4 Bedroom Townhouse in Westlands,"Off Peponi Road, Brookside, Nairobi, Nairobi",4 Bedrooms,KSh 38000000
842,House in  Lavington,"james gichuru, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 45000000
843,A Modern Townhouse in Lavington,"Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 66000000
844,Hardrock Park Estates,"Thika Road, Nairobi, Nairobi",4 Bedrooms,KSh 25000000
845,4 Bedroom House,"Kiamumbi, Kiamumbi, Nairobi, Nairobi",4 Bedrooms,KSh 32000000
846,"Runda, 5 Bedroom for sale","Runda, Runda, Nairobi, Nairobi",5 Bedrooms,KSh 170000000
847,4   Bedroom townhouse for sale  Lavington,"Chalbi Dr, Lavington, Lavington, Nairobi, Nairobi",4 Bedrooms,KSh 63000000
